Molecule ChEMBL ID,Canonical_smiles,Papp_(ucm/s),MW,TPSA,LogP,NumHDonors,NumHAcceptors,NumRotatableBonds,FpDensityMorgan1,FpDensityMorgan2,FpDensityMorgan3,NumRadicalElectrons,NumValenceElectrons,FilterItLogS
CHEMBL3098558,CO[C@H]1C(=O)[C@]2(C)CC[C@H]3OC[C@@]3(OC(C)=O)[C@H]2[C@H](OC(=O)c2ccccc2)[C@]23OC(=O)O[C@H]2[C@H](OC(=O)[C@H](O)[C@@H](NC(=O)OC(C)(C)C)c2ccccc2)C(C)=C1C3(C)C,2.64,847.9110000000001,208.52,5.095900000000005,2.0,15.0,9.0,0.9508196721311476,1.5901639344262295,2.1639344262295084,0.0,328.0,-6.576279921
CHEMBL1092765,C[C@H](c1cccnc1F)c1c(CCN(C)C)sc2ccccc12,21.7,328.456,16.130000000000003,4.691300000000004,0.0,3.0,5.0,1.173913043478261,1.9565217391304348,2.6956521739130435,0.0,120.0,-6.03688069
CHEMBL1957479,COc1ccc(C2(c3cccc(Br)c3)N=C(N)N3CC(F)(F)CN=C32)cc1,11.0,435.27200000000016,63.21,3.3790000000000022,1.0,5.0,3.0,1.148148148148148,1.8888888888888888,2.555555555555556,0.0,140.0,-5.813002439
CHEMBL2180029,COc1c(C)cc([C@]2(c3cccc(-c4cncnc4)c3)N=C(C)C(N)=N2)cc1C,21.0,385.4710000000002,85.75,3.801840000000001,1.0,6.0,4.0,0.8620689655172413,1.5517241379310345,2.1379310344827585,0.0,146.0,-7.074288842
CHEMBL524443,CNCC(=O)N[C@H](c1cccc(F)c1N1CCN(C(=O)[C@H](C)Cc2ccc(Cl)cc2Cl)CC1)C(C)C,2.0,537.5070000000002,64.68,4.692600000000004,2.0,4.0,9.0,1.0555555555555556,1.75,2.361111111111111,0.0,196.0,-7.581779408
CHEMBL445493,CCCCc1ccc(C(=O)NC2(C(=O)N[C@H](Cc3ccccc3)C(=O)NCC3CCN(CC4CCOCC4)CC3)CCCC2)nc1,17.6,631.8619999999999,112.66,4.449100000000003,3.0,6.0,14.0,0.9565217391304348,1.6956521739130437,2.369565217391304,0.0,250.0,-8.619391569
CHEMBL584525,O=C(N[C@@H](Cc1ccc(Cl)c(Br)c1)C(=O)O)c1ccc(Br)cc1NS(=O)(=O)c1cccc2nccnc12,0.1,668.751,138.35,5.034700000000003,3.0,6.0,8.0,1.027027027027027,1.7837837837837838,2.5135135135135136,0.0,190.0,-8.424096255
CHEMBL1649913,CC(=O)N[C@@H](CCN1[C@H]2CC[C@@H]1C[C@H](n1c(C)nc3ccccc31)C2)c1ccccc1,13.0,416.5690000000001,50.16,4.780120000000005,1.0,4.0,6.0,1.032258064516129,1.7096774193548387,2.419354838709677,0.0,162.0,-5.364185186
CHEMBL207999,Cc1cc(COc2ccc(C(=O)NC3(CC(=O)NO)CCN(C(=O)CC(C)(C)C)CC3)cc2)c2ccccc2n1,0.79,546.6680000000003,120.86,4.544920000000004,3.0,6.0,8.0,1.05,1.725,2.375,0.0,212.0,-7.261848881
CHEMBL1076264,CS(=O)(=O)Nc1ccc2c(c1)S(=O)(=O)N=C(C1=C(O)[C@H]3[C@@H]4CC[C@@H](C4)[C@H]3N(Cc3ccc(F)cc3)C1=O)N2,9.0,560.6290000000004,145.24,2.9791000000000007,3.0,7.0,5.0,1.1578947368421053,1.868421052631579,2.5789473684210527,0.0,200.0,-5.401860909
CHEMBL3222242,CN(Cc1ccc(-c2ccc(N3CCOc4ncnc(N)c4C3=O)cc2)c(Cl)c1)C(=O)CN,0.2,466.92900000000026,127.67,2.3355,2.0,7.0,5.0,1.2121212121212122,1.9696969696969695,2.6666666666666665,0.0,170.0,-5.50958951
CHEMBL1825096,CS(=O)(=O)Nc1ccc(Nc2ncc3cnn(C4CCCCCC4)c3n2)cn1,20.1,401.4960000000003,114.69,3.231700000000002,2.0,8.0,5.0,1.0357142857142858,1.8214285714285716,2.5,0.0,148.0,-4.780904387
CHEMBL2177172,CN1CCN(S(=O)(=O)c2ccc(-c3cncc(C(=O)Nc4cccnc4)n3)cc2)CC1,25.0,438.51300000000015,108.39,1.7269999999999996,1.0,7.0,5.0,0.967741935483871,1.7096774193548387,2.3870967741935485,0.0,160.0,-4.78196139
CHEMBL395823,Nc1noc2ccc(-n3nc(C(F)(F)F)cc3C(=O)NC3CCN(c4ccccc4CN4CCC[C@H]4O)CC3)cc12,0.2,569.5880000000002,125.68,3.927500000000003,3.0,9.0,6.0,1.0975609756097562,1.8780487804878048,2.609756097560976,0.0,216.0,-5.55454998
CHEMBL2087419,COc1cc(C)c(S(=O)(=O)N(C)CCOCC(=O)N2CCN([C@H]3CN4CCC3CC4)CC2)c(C)c1,1.9,508.68500000000046,82.62999999999998,1.1875400000000025,0.0,7.0,9.0,1.0571428571428572,1.6857142857142855,2.2285714285714286,0.0,196.0,-3.95727905
CHEMBL247259,C=C(c1ccccc1)[C@H]1OC[C@@H](NC(=O)Cc2ccccc2)[C@H](C)O1,7.51,337.419,47.56,3.1887000000000016,1.0,3.0,5.0,1.12,1.76,2.4,0.0,130.0,-4.506328333
CHEMBL3616780,CC(C)[C@@H]1NC(=O)c2csc(n2)[C@H](C(C)C)NC(=O)[C@@H]2CCCN2C(=O)[C@H](C(C)C)NC(=O)[C@@H]2CCCN2C(=O)[C@H](Cc2ccccc2)NC1=O,2.2,721.9250000000001,169.91,2.5747000000000044,4.0,8.0,5.0,0.6862745098039216,1.2352941176470589,1.803921568627451,0.0,276.0,-7.130821567
CHEMBL1093058,C[C@H](c1c(CCN(C)C)sc2ccccc12)n1cccn1,21.7,299.44300000000004,21.06,3.811200000000002,0.0,4.0,5.0,1.238095238095238,2.0476190476190474,2.761904761904762,0.0,110.0,-4.157935455
CHEMBL2380450,COc1ccc(C2(c3cccc(-c4cncnc4)c3)N=C(N)c3nc(C)sc32)cc1,18.0,413.5060000000002,86.28,3.927920000000002,1.0,7.0,4.0,0.9666666666666668,1.7333333333333334,2.466666666666667,0.0,148.0,-7.074540279
CHEMBL11645,COc1ccc(NC2=C(Cl)C(=O)c3ccncc3C2=O)cc1,21.9,314.72800000000007,68.28999999999999,3.0317000000000007,1.0,5.0,3.0,1.0454545454545454,1.7727272727272727,2.4545454545454546,0.0,110.0,-5.116730218
CHEMBL1083191,COc1ccc(CCNc2ncc(C)n(CC(=O)NCCONC(=N)N)c2=O)cc1,0.28,417.47000000000014,156.38,-0.2542099999999974,5.0,8.0,11.0,1.2666666666666666,2.0,2.6666666666666665,0.0,162.0,-4.519152646
CHEMBL270800,C=CCN1C[C@@H](NC(=O)c2ccc(OCc3cc(C)nc4ccccc34)cc2)[C@@H](C(=O)NO)C1,0.1,460.5340000000001,103.79,2.84382,3.0,6.0,8.0,1.2058823529411764,1.9705882352941175,2.7058823529411766,0.0,176.0,-5.513643198
CHEMBL1093423,CCOc1ccc(Cc2cc([C@@H]3S[C@H](CO)[C@@H](O)[C@H](O)[C@H]3O)c(OC)cc2C)cc1,14.4,434.55400000000014,99.38,2.22462,4.0,7.0,7.0,1.0,1.7,2.3,0.0,164.0,-3.800047472
CHEMBL3222259,Nc1ncnc2c1C(=O)N(c1ccc(-c3c(F)cccc3F)c(F)c1)CCO2,10.0,386.3330000000001,81.34,3.182300000000001,1.0,5.0,2.0,1.0,1.75,2.4642857142857144,0.0,142.0,-5.835263812
CHEMBL1083439,O=C(CCCCCNC(=O)NC(=O)c1ccccc1)NO,3.12,293.32300000000004,107.53000000000002,1.1917999999999995,4.0,4.0,7.0,1.0,1.7142857142857142,2.380952380952381,0.0,114.0,-3.083194941
